comment,preprocessed_comment
"Worst professor ever. He asked me personal questions that were uncomfortable, made me feel stupid when I asked questions, and overall discouraged me. Do not take english 125 from him.","['worst', 'professor', 'ever', 'asked', 'personal', 'questions', 'uncomfortable', 'made', 'feel', 'stupid', 'asked', 'questions', 'overall', 'discouraged', 'take', 'english']"
"I attend his Business and Technical Writing course. Rand humiliates people for not understanding assignments when they ask. Very egotistical, rude to those who need help, very difficult work, hard grader -even on those who are following directions. I highly recommend waiting to take this class from anyone else. Not worth losing points on your GPA.","['attend', 'business', 'technical', 'writing', 'course', 'rand', 'humiliates', 'people', 'understanding', 'assignments', 'ask', 'egotistical', 'rude', 'need', 'help', 'difficult', 'work', 'hard', 'grader', 'even', 'following', 'directions', 'highly', 'recommend', 'waiting', 'take', 'class', 'anyone', 'else', 'worth', 'losing', 'points', 'gpa']"
"He was a very hard grader, but he graded on improvement throughout the semester, not on how great of a  greater you were (I mean he obviously graded on how good of a writer you were, but it was more on how much you progressed). I learned a lot from him. I am even taking me next english class with him. Definitely take his course if you can!","['hard', 'grader', 'graded', 'improvement', 'throughout', 'semester', 'great', 'greater', 'mean', 'obviously', 'graded', 'good', 'writer', 'much', 'progressed', 'learned', 'lot', 'even', 'taking', 'next', 'english', 'class', 'definitely', 'take', 'course']"
"Professor Steven Rand is very unclear and grades very hard. If you are in his English classes, drop if you want something less than a C. He hates that 'students were graded too easy in high school' so in response to that, he likes to fail his students.","['professor', 'steven', 'rand', 'unclear', 'grades', 'hard', 'english', 'classes', 'drop', 'want', 'something', 'less', 'c', 'hates', 'students', 'graded', 'easy', 'high', 'school', 'response', 'likes', 'fail', 'students']"
"He is terrible! If you have him drop him IMMEDIATELY! He is mean, and an extremely hard grader!!!!","['terrible', 'drop', 'immediately', 'mean', 'extremely', 'hard', 'grader']"
Awful. Horrible grading.,"['awful', 'horrible', 'grading']"
I wish I could give him a zero,"['wish', 'could', 'give', 'zero']"
Not good.,['good']
"This was a tough class. I expected all college classes to be like this, but since most are not it was somewhat refreshing to have a professor push me this much. If you are willing to put in the work for Mr. Rand you will reep the benefits. If not, then take this class from someone else.","['tough', 'class', 'expected', 'college', 'classes', 'like', 'since', 'somewhat', 'refreshing', 'professor', 'push', 'much', 'willing', 'put', 'work', 'mr', 'rand', 'reep', 'benefits', 'take', 'class', 'someone', 'else']"
"He is a unruly professor. He grades on how he feels your ideas are. There is never a right answer, papers can ALWAYS use improvement. I would not recommend him to anyone wanting a grade over a C, even to get that you must put in an excessive amount of time into each paper.","['unruly', 'professor', 'grades', 'feels', 'ideas', 'never', 'right', 'answer', 'papers', 'always', 'use', 'improvement', 'would', 'recommend', 'anyone', 'wanting', 'grade', 'c', 'even', 'get', 'must', 'put', 'excessive', 'amount', 'time', 'paper']"
"He is confusing in every aspect: in lecture, in assignments and in critiquing. His assignments are mundane and never change.  I expected to explore writing and become better.  He is an impossible grader, espcially because he grades on how HE feels about your ideas, not on grammer or content.  VERY DISAPPOINTING.","['confusing', 'every', 'aspect', 'lecture', 'assignments', 'critiquing', 'assignments', 'mundane', 'never', 'change', 'expected', 'explore', 'writing', 'become', 'better', 'impossible', 'grader', 'espcially', 'grades', 'feels', 'ideas', 'grammer', 'content', 'disappointing']"
"Worst teacher I have had at UND. Sorry I don't have a PhD in English. His grading style is way too rough for a 125 class. nobody in my class has an A. I have put in 3x more hours for this class than any other but still this class is my worst grade. If possible, avoid this teacher!","['worst', 'teacher', 'und', 'sorry', 'nt', 'phd', 'english', 'grading', 'style', 'way', 'rough', 'class', 'nobody', 'class', 'put', 'hours', 'class', 'still', 'class', 'worst', 'grade', 'possible', 'avoid', 'teacher']"
worst experience of my life. expects way too much for a 100 level course. take this class if you want to spend 15 hours on a three page paper and still get a C-. ridiculous grading policies.,"['worst', 'experience', 'life', 'expects', 'way', 'much', 'level', 'course', 'take', 'class', 'want', 'spend', 'hours', 'three', 'page', 'paper', 'still', 'get', 'c', 'ridiculous', 'grading', 'policies']"
"For as much of a waste as UNIV 101 is, he did an ok job at keeping things interesting.  Avoid UNIV 101 altogether if you can.","['much', 'waste', 'univ', 'ok', 'job', 'keeping', 'things', 'interesting', 'avoid', 'univ', 'altogether']"
"His expectations are high for a required 100-level class, especially since most who take it aren't English majors. To his credit, he's smart and gives good feedback. I wouldn't recommend him to a freshman.","['expectations', 'high', 'required', 'class', 'especially', 'since', 'take', 'nt', 'english', 'majors', 'credit', 'smart', 'gives', 'good', 'feedback', 'would', 'nt', 'recommend', 'freshman']"
Steven rand just a joke!! and so incrediablely socially awkward! do not take this class unless you like to fail out of college! He gives you directions for a paper but grades on whatever is on his mind that day his grading makes no sense and no one has ever gotten an A in one of his classes yet.... if you dont believe me he will tell you this.,"['steven', 'rand', 'joke', 'incrediablely', 'socially', 'awkward', 'take', 'class', 'unless', 'like', 'fail', 'college', 'gives', 'directions', 'paper', 'grades', 'whatever', 'mind', 'day', 'grading', 'makes', 'sense', 'one', 'ever', 'gotten', 'one', 'classes', 'yet', 'dont', 'believe', 'tell']"
"I struggled through his class. First- he's a lawyer, so he'll lead you on making you think one thing without actually promising anything.  Second- he'll give you about 20 different instructions on one paper and he'll grade it by how he's feeling. Stupid class, I worked so hard and managed a B but he told me that I had &quot;weak writing.&quot; Avoid him!","['struggled', 'class', 'first', 'lawyer', 'lead', 'making', 'think', 'one', 'thing', 'without', 'actually', 'promising', 'anything', 'second', 'give', 'different', 'instructions', 'one', 'paper', 'grade', 'feeling', 'stupid', 'class', 'worked', 'hard', 'managed', 'b', 'told', 'quot', 'weak', 'writing', 'quot', 'avoid']"
"Hey be nice. Yeah, he's hard to understand, and a very harsh grader, but he's a teacher and at least he's doing his job (of course, everyone including me would love easier, more comprehendable classes) just be greatful he's willing to put up with everyone's bull hoping that he helped at least one student improve in literature.","['hey', 'nice', 'yeah', 'hard', 'understand', 'harsh', 'grader', 'teacher', 'least', 'job', 'course', 'everyone', 'including', 'would', 'love', 'easier', 'comprehendable', 'classes', 'greatful', 'willing', 'put', 'everyone', 'bull', 'hoping', 'helped', 'least', 'one', 'student', 'improve', 'literature']"
"Stevevn Rand was the absolute worst professor i have ever had.  He's without a doubt the hardest teacher you can take for any english classes.  He grades extremely hard, and not at the level of a 100 class. Also Steven Rand is the biggest &quot;Creeper&quot; he makes everyone around him feel extremely uncomfortable.","['stevevn', 'rand', 'absolute', 'worst', 'professor', 'ever', 'without', 'doubt', 'hardest', 'teacher', 'take', 'english', 'classes', 'grades', 'extremely', 'hard', 'level', 'class', 'also', 'steven', 'rand', 'biggest', 'quot', 'creeper', 'quot', 'makes', 'everyone', 'around', 'feel', 'extremely', 'uncomfortable']"
"This is the hardest 100 level class ever. It doesn't matter if you dedicate your life to this class, you still won't get an A! Take it a another semester or with a different professor. His directions are unclear. He goes against everything the book says, but tells you to use the book.  He's confusing, a hard grader, and a different guy. STAY AWAY!!","['hardest', 'level', 'class', 'ever', 'nt', 'matter', 'dedicate', 'life', 'class', 'still', 'wo', 'nt', 'get', 'take', 'another', 'semester', 'different', 'professor', 'directions', 'unclear', 'goes', 'everything', 'book', 'says', 'tells', 'use', 'book', 'confusing', 'hard', 'grader', 'different', 'guy', 'stay', 'away']"
"I am currently in this class.  I took this, because I was told it was supposed to be easier than 120.  I regret staying in this class with Rand as my Professor.  He is nice and pretty smart, but his grading is ridiculous.  He is the hardest grader I have ever encountered.DONT take him, if you are taking this class as a general basically. LISTEN.","['currently', 'class', 'took', 'told', 'supposed', 'easier', 'regret', 'staying', 'class', 'rand', 'professor', 'nice', 'pretty', 'smart', 'grading', 'ridiculous', 'hardest', 'grader', 'ever', 'encountereddont', 'take', 'taking', 'class', 'general', 'basically', 'listen']"
"I took 125 because I heard it was easier than 120 unless you get a certain professor. Well this is that professor. He's a nice guy but expects perfection and is out of touch with reality. The class is boring and hard, and the book is expensive. First paper was 3-4 pages, last will be 15 with each in between getting larger. Would NOT recommend him.","['took', 'heard', 'easier', 'unless', 'get', 'certain', 'professor', 'well', 'professor', 'nice', 'guy', 'expects', 'perfection', 'touch', 'reality', 'class', 'boring', 'hard', 'book', 'expensive', 'first', 'paper', 'pages', 'last', 'getting', 'larger', 'would', 'recommend']"
This was by far the best learning experience I have had at UND. He is a hard grader but he helps by marking your papers with serious suggestions. I feel that many mistake his marks for personal attacks when he is only trying to bring the best out in his students. My writing skills have improved a hundred fold. I would recommend him to anyone.,"['far', 'best', 'learning', 'experience', 'und', 'hard', 'grader', 'helps', 'marking', 'papers', 'serious', 'suggestions', 'feel', 'many', 'mistake', 'marks', 'personal', 'attacks', 'trying', 'bring', 'best', 'students', 'writing', 'skills', 'improved', 'hundred', 'fold', 'would', 'recommend', 'anyone']"
"I should have read these comments before I took this class. This was by far the worse teacher I have had! He makes you feel dumb and expects way to much for a 100 level class. Worked my butt off to get a B in the course! If you can, please switch to another teacher, you will be thankful you did!! He expects everyone is an English Major!","['read', 'comments', 'took', 'class', 'far', 'worse', 'teacher', 'makes', 'feel', 'dumb', 'expects', 'way', 'much', 'level', 'class', 'worked', 'butt', 'get', 'b', 'course', 'please', 'switch', 'another', 'teacher', 'thankful', 'expects', 'everyone', 'english', 'major']"
I suggest never taking him...i read the comments on here but figured it wouldnt be so bad so stayed in...wrong move...trust me..get out of the class ASAP...his instructions were never clear and he made you write the paper then changed his assignment my advice for the writers group is to just write a bunch of crap because you'll rewrite it anyway,"['suggest', 'never', 'taking', 'read', 'comments', 'figured', 'wouldnt', 'bad', 'stayed', 'wrong', 'move', 'trust', 'get', 'class', 'asap', 'instructions', 'never', 'clear', 'made', 'write', 'paper', 'changed', 'assignment', 'advice', 'writers', 'group', 'write', 'bunch', 'crap', 'rewrite', 'anyway']"
No Comments,['comments']
"horrible teacher, i had to transfer out of state i hated this guy so much","['horrible', 'teacher', 'transfer', 'state', 'hated', 'guy', 'much']"
He was a very unfair teacher... i suggest NOT taking him!,"['unfair', 'teacher', 'suggest', 'taking']"
IMPOSSILE!  If it is still possible to drop this class... DO IT!!  It is not possible to get above a C.  And to just get a C you have to work your butt off!,"['impossile', 'still', 'possible', 'drop', 'class', 'possible', 'get', 'c', 'get', 'c', 'work', 'butt']"
"I think he is a great guy to just talk about music, and fun stuff outside of school, but he never answers questions you have, and gives like a couple B's in the class the rest...  you know...","['think', 'great', 'guy', 'talk', 'music', 'fun', 'stuff', 'outside', 'school', 'never', 'answers', 'questions', 'gives', 'like', 'couple', 'b', 'class', 'rest', 'know']"
what can i say about rand....those of you who hate him so much should be lucky that you didn't have to endure his class five days a week for six weeks for an hour and a half each day....YOU SHOULD FEEL SOMEWHAT LUCKY!,"['say', 'rand', 'hate', 'much', 'lucky', 'nt', 'endure', 'class', 'five', 'days', 'week', 'six', 'weeks', 'hour', 'half', 'day', 'feel', 'somewhat', 'lucky']"
This man is the devil trapped in human form. It is currently 2:42am the day before this final paper and I want to gouge my eyes out. If I could give some advice to future students I would recommend dropping at the soonest possible moment and save yourself some time before drop day or prepare to spend 8 hours writing papers to get a C-.I despise him,"['man', 'devil', 'trapped', 'human', 'form', 'currently', 'day', 'final', 'paper', 'want', 'gouge', 'eyes', 'could', 'give', 'advice', 'future', 'students', 'would', 'recommend', 'dropping', 'soonest', 'possible', 'moment', 'save', 'time', 'drop', 'day', 'prepare', 'spend', 'hours', 'writing', 'papers', 'get', 'ci', 'despise']"
Impossible to a get above a C- on anything!!! He treats you like you are an employee of a Rocket science nasa program or something......Nice guy but a lil out of touch with reality,"['impossible', 'get', 'c', 'anything', 'treats', 'like', 'employee', 'rocket', 'science', 'nasa', 'program', 'something', 'nice', 'guy', 'lil', 'touch', 'reality']"
he sucks...and he wants you to fail at life...stay away.. far away...,"['sucks', 'wants', 'fail', 'life', 'stay', 'away', 'far', 'away']"
"It is impossible to get a good grade.  If you get a B, congradulations, i think you're a first. he is an unfair grader.  I went to the writing center when he worked and had him look at my paper, made all the changes he told me to do and still go a C.  I spent way too much time on his papers.  If you have him, get out now!!!!!!","['impossible', 'get', 'good', 'grade', 'get', 'b', 'congradulations', 'think', 'first', 'unfair', 'grader', 'went', 'writing', 'center', 'worked', 'look', 'paper', 'made', 'changes', 'told', 'still', 'go', 'c', 'spent', 'way', 'much', 'time', 'papers', 'get']"
Never understood what was asking for because he never told you what he really wanted you to do. He's a total ****.,"['never', 'understood', 'asking', 'never', 'told', 'really', 'wanted', 'total']"
impossible to get a good grade,"['impossible', 'get', 'good', 'grade']"
No Comments,['comments']
"hes pretty tough, expects too much","['hes', 'pretty', 'tough', 'expects', 'much']"
"He expects a lot from his students, but does take the time to get to know everyone.  I'd suggest going to the writing lab before you ask him for help..and he tends to suggest that too, or else be prepared for a lot of red ink.","['expects', 'lot', 'students', 'take', 'time', 'get', 'know', 'everyone', 'suggest', 'going', 'writing', 'lab', 'ask', 'help', 'tends', 'suggest', 'else', 'prepared', 'lot', 'red', 'ink']"
this guy is hard as nails.  all he did was whup my ass when I asked for help,"['guy', 'hard', 'nails', 'whup', 'ass', 'asked', 'help']"
He sucks,['sucks']
He Hated me .... never taught us how to write,"['hated', 'never', 'taught', 'us', 'write']"
No Comments,['comments']
No Comments,['comments']
Rediculous teacher...kills you on stupid details,"['rediculous', 'teacher', 'kills', 'stupid', 'details']"
"The course is difficult, but doable. Mr. Farm will help you, but the key to this course is to use  math learning center. He is a professor that wants to see you pass so he tries to help as much as possible.","['course', 'difficult', 'doable', 'mr', 'farm', 'help', 'key', 'course', 'use', 'math', 'learning', 'center', 'professor', 'wants', 'see', 'pass', 'tries', 'help', 'much', 'possible']"
"Everyday there is a WebAssign assignment given out (very time consuming and they don't help you on the exams). The three exams he gives are extremely HARD!, all I can say is just practice ... a lot. I got a F on my first exam and had to ace the rest to get an A overall. lastly, the final will wreck you, the girl sitting next to me cried during it.","['everyday', 'webassign', 'assignment', 'given', 'time', 'consuming', 'nt', 'help', 'exams', 'three', 'exams', 'gives', 'extremely', 'hard', 'say', 'practice', 'lot', 'got', 'f', 'first', 'exam', 'ace', 'rest', 'get', 'overall', 'lastly', 'final', 'wreck', 'girl', 'sitting', 'next', 'cried']"
"Mr. Farm is one of the nicest people you will meet. WebAssign assignments get handed out every day after class to practice problems and a quiz usually appears every day at class. Do a lot of practice questions for the 3 midterm tests. For the final he makes you understand the concepts instead of memorizing problems. Put the work in, get an A.","['mr', 'farm', 'one', 'nicest', 'people', 'meet', 'webassign', 'assignments', 'get', 'handed', 'every', 'day', 'class', 'practice', 'problems', 'quiz', 'usually', 'appears', 'every', 'day', 'class', 'lot', 'practice', 'questions', 'midterm', 'tests', 'final', 'makes', 'understand', 'concepts', 'instead', 'memorizing', 'problems', 'put', 'work', 'get']"
"Tests are hard because they never matched up with notes and lectures. On the final test, we had to get a 70% on it or we didn't pass the Everything that you think is gonna be on the test, is not. Expect homework 4 days a week. Would not recommend.","['tests', 'hard', 'never', 'matched', 'notes', 'lectures', 'final', 'test', 'get', 'nt', 'pass', 'everything', 'think', 'gon', 'na', 'test', 'expect', 'homework', 'days', 'week', 'would', 'recommend']"
"Mr. Farm is the best math teacher I have ever had. He is super funny and very passionate about what he does. There is a quiz almost every day in class, but it is not the end of the world if you miss one.","['mr', 'farm', 'best', 'math', 'teacher', 'ever', 'super', 'funny', 'passionate', 'quiz', 'almost', 'every', 'day', 'class', 'end', 'world', 'miss', 'one']"
Take this class with a different prof,"['take', 'class', 'different', 'prof']"
He will answer all the questions you have. And he is willing to give his students a second chance to take passed due hw. Random in class quizzes is easy!,"['answer', 'questions', 'willing', 'give', 'students', 'second', 'chance', 'take', 'passed', 'due', 'hw', 'random', 'class', 'quizzes', 'easy']"
Stuart is among the nicest professors I've ever had. Unfortunately this didn't translate into him being an effective one. Prepare for loads of homework and daily quizzes.,"['stuart', 'among', 'nicest', 'professors', 'ever', 'unfortunately', 'nt', 'translate', 'effective', 'one', 'prepare', 'loads', 'homework', 'daily', 'quizzes']"
"If you take a class with Stuart Farm, be ready to spend A LOT of time outside of class on homework, often times teaching yourself unfortunately. Also, there is a quiz in class pretty much every day, so go! The homework is challenging and time consuming, but the tests are much easier which is nice. He isn't the best at explaining material, but ok.","['take', 'class', 'stuart', 'farm', 'ready', 'spend', 'lot', 'time', 'outside', 'class', 'homework', 'often', 'times', 'teaching', 'unfortunately', 'also', 'quiz', 'class', 'pretty', 'much', 'every', 'day', 'go', 'homework', 'challenging', 'time', 'consuming', 'tests', 'much', 'easier', 'nice', 'nt', 'best', 'explaining', 'material', 'ok']"
Terrible teacher all around. Had him my first year in college for math and got stuck with him again my junior year and nothing changed.. he maybe even got worse..,"['terrible', 'teacher', 'around', 'first', 'year', 'college', 'math', 'got', 'stuck', 'junior', 'year', 'nothing', 'changed', 'maybe', 'even', 'got', 'worse']"
Nice person but absolutely sucks at teaching math. This class is supposed to be for students who are below the average math scores but he makes it so difficult. I'm bad at math to start with and he doesn't help. Avoid him at all costs.,"['nice', 'person', 'absolutely', 'sucks', 'teaching', 'math', 'class', 'supposed', 'students', 'average', 'math', 'scores', 'makes', 'difficult', 'bad', 'math', 'start', 'nt', 'help', 'avoid', 'costs']"
"I took Math 92 and 93 in one semester, it was very fast paced. If you missed any class you would be behind for a while. All in all he was a good teacher, I think a lot of people didn't like moving at that pace and in turn disliked him.","['took', 'math', 'one', 'semester', 'fast', 'paced', 'missed', 'class', 'would', 'behind', 'good', 'teacher', 'think', 'lot', 'people', 'nt', 'like', 'moving', 'pace', 'turn', 'disliked']"
"Took this class for interest, also was the first math course in College. It was very hard to start with, extensive and new HW every class(Webassign), Prepare to do them, with solid understanding. attendence are vital. Test are very based on in class assignments and lecture examples.","['took', 'class', 'interest', 'also', 'first', 'math', 'course', 'college', 'hard', 'start', 'extensive', 'new', 'hw', 'every', 'class', 'webassign', 'prepare', 'solid', 'understanding', 'attendence', 'vital', 'test', 'based', 'class', 'assignments', 'lecture', 'examples']"
"Farm has homework almost nightly, but it nothing that wasn't able to be done quickly for the most part.  His final test accounted for the most percentage of the points in the class so studying is mandatory if you want to pass this class.","['farm', 'homework', 'almost', 'nightly', 'nothing', 'nt', 'able', 'done', 'quickly', 'part', 'final', 'test', 'accounted', 'percentage', 'points', 'class', 'studying', 'mandatory', 'want', 'pass', 'class']"
"If you don't show your work or show that you double checked your answers he'll give you a zero, even if you got the question right.  Also you can't skip because he does in class practice that you turn in at the end of the class.","['nt', 'show', 'work', 'show', 'double', 'checked', 'answers', 'give', 'zero', 'even', 'got', 'question', 'right', 'also', 'ca', 'nt', 'skip', 'class', 'practice', 'turn', 'end', 'class']"
Very Nice guy. very willing to help,"['nice', 'guy', 'willing', 'help']"
"Mr. Farm is the nicest man you will ever meet. His concepts are easy to figure out. As long as you pay attention and show up, you will be fine.","['mr', 'farm', 'nicest', 'man', 'ever', 'meet', 'concepts', 'easy', 'figure', 'long', 'pay', 'attention', 'show', 'fine']"
Kinda quirky but he's a good guy that cares. Show up everyday for free points. Quizzes almost every week (turned into group quizzes by the end of the semester). Test very similar to quizzes. Homework almost every day and it is much harder than what you will see on the quizzes/test though if you ask for extensions you'll get it every time. Math On!,"['kinda', 'quirky', 'good', 'guy', 'cares', 'show', 'everyday', 'free', 'points', 'quizzes', 'almost', 'every', 'week', 'turned', 'group', 'quizzes', 'end', 'semester', 'test', 'similar', 'quizzes', 'homework', 'almost', 'every', 'day', 'much', 'harder', 'see', 'quizzestest', 'though', 'ask', 'extensions', 'get', 'every', 'time', 'math']"
"Kind of weird, makes corny jokes all the time but one of the better math professors I've had. He's passionate about the subject and it shows. He spends extra time making sure that his students understand the reasons behind why you do certain steps and, for me, it was helpful in my understanding. Recommended.","['kind', 'weird', 'makes', 'corny', 'jokes', 'time', 'one', 'better', 'math', 'professors', 'passionate', 'subject', 'shows', 'spends', 'extra', 'time', 'making', 'sure', 'students', 'understand', 'reasons', 'behind', 'certain', 'steps', 'helpful', 'understanding', 'recommended']"
"This class is  a giant headache. So far, we've had over 30 assignments(only worth 20% of grade) that each take hours to complete, because Stuart puts many problems that we never went over in class . On top of that, we have weekly comprehensive quizzes that are inconsistent in difficulty and points. Simply, I pity anyone who has to take this class.","['class', 'giant', 'headache', 'far', 'assignments', 'worth', 'grade', 'take', 'hours', 'complete', 'stuart', 'puts', 'many', 'problems', 'never', 'went', 'class', 'top', 'weekly', 'comprehensive', 'quizzes', 'inconsistent', 'difficulty', 'points', 'simply', 'pity', 'anyone', 'take', 'class']"
I would not recommend this professor if you' re not strong in math. You should expect to do homework almost every night. New homework assignment after each class. Doesn't give traditional exams but weekly quizzes for points. Text book assigned was of little help. Homework take hours to complete for only small portion of grade.,"['would', 'recommend', 'professor', 'strong', 'math', 'expect', 'homework', 'almost', 'every', 'night', 'new', 'homework', 'assignment', 'class', 'nt', 'give', 'traditional', 'exams', 'weekly', 'quizzes', 'points', 'text', 'book', 'assigned', 'little', 'help', 'homework', 'take', 'hours', 'complete', 'small', 'portion', 'grade']"
"Stuart Farm, so far, has been the worst professor I have had. He grades so harshly that it is almost impossible to get even a C. (At one point I had a 48%) (& Im the average A/B student) He gives weekly quizzes and gives time consuming homework. I would not recommend him.","['stuart', 'farm', 'far', 'worst', 'professor', 'grades', 'harshly', 'almost', 'impossible', 'get', 'even', 'c', 'one', 'point', 'im', 'average', 'ab', 'student', 'gives', 'weekly', 'quizzes', 'gives', 'time', 'consuming', 'homework', 'would', 'recommend']"
"He is the worst teacher that I have had for the past ten years. He goes way overboard with trying to explain things, and when he does explain things, it doesn't show up on the test or quizzes. There are many other students in my class that have no idea what is going on. Don't take any of his classes. You have to teach yourself the lessons.","['worst', 'teacher', 'past', 'ten', 'years', 'goes', 'way', 'overboard', 'trying', 'explain', 'things', 'explain', 'things', 'nt', 'show', 'test', 'quizzes', 'many', 'students', 'class', 'idea', 'going', 'nt', 'take', 'classes', 'teach', 'lessons']"
